temperature,humidity,pest_level,crop_health
34.36,51.39,2,95.14
32.13,40.09,5,88.34
28.2,47.39,6,89.79
14.25,46.21,3,94.71
14.32,38.7,10,78.74
17.53,89.07,1,99.58
29.4,53.98,4,93.13
27.56,40.02,4,93.7
11.55,29.98,0,98.22
23.59,56.82,9,82.22
26.17,67.33,7,87.7
10.62,48.22,7,86.93
19.26,28.86,3,95.87
36.33,78.45,4,87.41
16.55,97.82,9,80.87
29.59,21.39,4,92.89
31.34,51.53,8,84.58
18.0,75.37,7,85.24
37.87,89.8,5,84.14
11.14,35.76,9,83.01
20.94,85.13,8,85.28
21.65,53.46,7,84.34
36.51,86.45,4,86.57
16.8,51.93,6,88.76
37.34,84.93,6,83.32
14.17,84.51,5,91.18
34.61,25.53,5,90.05
28.24,35.36,6,86.01
22.26,86.9,7,86.54
35.8,26.54,3,88.8
37.8,69.14,3,88.84
25.36,39.05,2,95.16
23.84,26.82,7,86.58
22.11,72.4,5,90.24
24.68,47.18,5,90.4
39.9,56.41,4,85.29
38.74,83.97,1,92.84
14.47,39.6,10,80.61
32.19,23.2,6,87.46
13.88,93.82,6,86.5
34.66,68.09,9,80.05
14.19,67.54,6,89.2
17.64,77.33,7,87.54
31.11,64.97,2,94.7
38.17,53.96,4,86.19
26.82,82.33,2,94.79
21.52,43.23,0,99.11
15.48,97.33,10,80.01
18.0,50.59,1,99.83
34.09,58.12,4,90.3
10.83,99.81,2,95.69
21.76,97.58,1,99.15
10.15,99.66,7,85.75
11.3,69.82,8,83.39
24.62,57.77,4,93.46
15.27,36.72,10,80.78
34.43,31.8,4,92.34
34.09,94.97,5,90.48
28.39,35.21,1,96.67
16.77,30.67,0,100
32.56,74.5,7,84.07
27.78,96.45,2,94.24
36.88,35.3,5,83.8
35.5,66.01,6,82.57
12.53,90.16,9,83.29
39.18,92.54,9,78.83
21.43,98.56,10,78.9
22.89,97.31,8,83.02
36.74,30.67,7,82.85
18.04,82.49,4,91.49
29.88,64.05,7,84.09
28.58,94.24,10,78.48
19.9,55.57,5,88.34
34.29,45.33,6,88.75
31.73,77.14,3,95.77
27.18,30.16,5,91.96
33.35,55.33,1,98.46
12.8,92.56,6,87.25
37.41,57.57,9,75.3
27.81,83.32,9,81.01
28.6,81.79,9,82.13
10.96,53.98,4,91.59
16.76,38.13,7,87.21
35.43,42.1,8,80.26
37.78,69.81,1,93.02
25.0,76.85,7,87.48
20.41,93.18,8,85.04
12.33,27.01,9,83.96
13.77,90.88,4,93.82
39.66,54.84,6,84.56
16.51,29.17,4,91.64
39.1,38.45,4,86.46
28.31,34.94,2,95.08
29.17,30.96,4,91.81
30.21,68.95,6,87.8
18.58,98.84,8,85.66
31.95,34.84,10,80.37
23.62,66.59,8,82.14
16.87,66.82,2,97.69
31.92,94.39,1,96.28
26.49,68.57,7,84.15
15.38,45.25,2,94.92
34.45,87.88,8,84.56
19.22,48.76,0,99.5
39.71,26.7,4,85.97
28.55,93.7,4,92.89
28.47,86.36,8,83.37
38.69,40.76,5,85.06
18.78,30.95,5,88.96
38.53,86.28,0,94.67
36.4,50.98,10,73.43
14.28,63.38,4,90.36
35.4,84.89,3,89.31
16.18,29.92,0,100
27.93,88.41,0,100
36.19,85.43,7,82.65
14.87,33.47,3,92.09
28.36,25.74,3,94.79
11.5,91.63,5,90.78
24.48,93.45,6,86.52
35.11,92.82,8,78.33
15.49,72.12,2,95.18
31.02,87.64,7,87.41
31.83,43.74,9,82.48
21.91,81.37,0,99.94
37.05,20.35,6,83.07
22.91,84.95,7,87.83
29.22,95.91,10,79.99
22.28,27.29,1,98.99
36.2,90.14,0,94.8
10.36,60.88,6,89.78
27.6,26.77,4,91.92
23.79,58.09,1,96.32
34.89,31.43,0,99.6
33.8,44.65,7,84.0
13.18,66.28,2,94.78
36.53,20.12,4,88.41
11.73,25.07,3,92.03
26.09,47.19,5,89.5
36.52,35.91,7,79.99
17.56,68.44,3,94.94
23.25,26.84,10,80.97
26.29,50.76,0,100
31.49,49.08,7,84.25
23.37,99.97,1,97.93
17.81,83.69,7,87.02
29.41,90.37,10,80.35
15.55,27.57,5,91.45
18.61,41.38,7,87.74
37.66,21.11,0,94.98
25.12,79.82,2,95.58
22.32,65.47,7,84.7
36.36,47.16,6,81.66
10.31,41.69,1,99.68
25.18,53.64,8,83.55
16.15,57.49,0,99.0
16.89,59.33,0,100
29.98,98.35,8,82.61
23.05,25.27,2,97.04
12.47,24.41,3,94.05
35.04,34.05,5,86.62
13.31,87.56,4,91.96
22.28,26.75,9,82.13
37.68,83.37,0,93.13
13.08,69.91,3,93.99
25.66,39.41,1,96.85
24.43,34.63,7,84.98
37.23,97.31,7,82.13
29.57,26.08,8,83.06
12.46,70.4,10,79.23
19.71,31.57,5,89.49
37.19,63.61,3,88.5
27.45,38.78,6,86.01
33.44,53.24,8,85.63
31.1,34.07,3,92.01
18.71,25.15,9,83.6
19.12,96.23,9,80.78
27.75,65.7,0,98.32
10.71,26.02,1,96.38
33.79,69.48,9,82.24
23.58,34.88,3,94.82
14.93,83.97,8,83.63
35.7,80.83,0,94.55
31.71,32.28,8,82.03
16.96,77.44,9,80.01
27.28,29.64,4,91.37
15.71,87.21,9,83.41
34.93,63.63,5,89.99
38.44,81.05,2,90.84
29.14,83.17,10,81.54
25.97,85.12,5,89.68
23.77,82.32,5,90.43
32.73,77.31,4,93.68
18.74,22.16,0,100
14.52,78.83,8,85.69
15.42,29.77,4,90.32
36.3,84.92,9,75.73
34.56,89.28,6,87.76
34.51,23.65,9,83.29
